City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
0,adamstown,-25.066,-130.1015,291.11,61,14,10.53,PN,1691717317,17.960000000000036
1,puerto baquerizo moreno,-0.9,-89.6,297.06,83,62,5.91,EC,1691717317,23.910000000000025
2,san antonio de pale,-1.4014,5.6325,296.55,87,98,4.55,GQ,1691717318,23.400000000000034
3,bethel,41.3712,-73.414,294.62,86,100,1.24,US,1691717039,21.470000000000027
4,waitangi,-43.9535,-176.5597,285.27,89,100,3.58,NZ,1691717318,12.120000000000005
5,klyuchi,52.2667,79.1667,288.36,89,100,6.0,RU,1691717318,15.210000000000036
6,petropavlovsk-kamchatsky,53.0452,158.6483,292.48,52,20,2.0,RU,1691717318,19.33000000000004
7,port lincoln,-34.7333,135.8667,285.73,66,99,2.4,AU,1691717318,12.580000000000041
8,kapit,2.0167,112.9333,298.98,90,98,0.38,MY,1691717318,25.83000000000004
9,edinburgh of the seven seas,-37.0676,-12.3116,285.23,74,93,13.17,SH,1691717091,12.080000000000041
10,tchibanga,-2.85,11.0333,293.48,91,31,1.19,GA,1691717319,20.33000000000004
11,port elizabeth,-33.918,25.5701,292.65,67,0,2.06,ZA,1691717319,19.5
12,udachny,66.4167,112.4,292.84,64,99,4.54,RU,1691717100,19.689999999999998
13,morar,26.2261,78.2261,299.62,75,6,3.37,IN,1691717319,26.470000000000027
14,bengkulu,-3.8004,102.2655,297.32,89,67,1.91,ID,1691717319,24.170000000000016
15,puerto natales,-51.7236,-72.4875,272.68,94,17,1.9,CL,1691717319,-0.46999999999997044
16,buala,-8.145,159.5921,298.95,87,100,6.35,SB,1691717320,25.80000000000001
17,bairnsdale,-37.8333,147.6167,288.18,54,100,0.89,AU,1691717320,15.03000000000003
18,vanino,49.0869,140.2543,288.21,97,100,0.32,RU,1691717320,15.060000000000002
19,hamina,60.5697,27.1979,286.11,82,29,3.93,FI,1691717320,12.960000000000036
20,vilshofen,48.6333,13.1833,287.26,81,0,1.23,DE,1691717320,14.110000000000014
21,anuradhapura,8.3565,80.4173,298.14,85,100,3.43,LK,1691717320,24.99000000000001
22,tianpeng,30.9866,103.9393,301.04,78,91,1.05,CN,1691717321,27.890000000000043
